author,word,path
1,Litwo,words\author1\Litwo_0.png
1,Ojczyzno,words\author1\Ojczyzno_1.png
1,moja,words\author1\moja_2.png
1,ty,words\author1\ty_3.png
1,jesteś,words\author1\jesteś_4.png
1,jak,words\author1\jak_5.png
1,zdrowie,words\author1\zdrowie_6.png
1,Ile,words\author1\Ile_7.png
1,cię,words\author1\cię_8.png
1,trzeba,words\author1\trzeba_9.png
1,cenić,words\author1\cenić_10.png
1,ten,words\author1\ten_11.png
1,tylko,words\author1\tylko_12.png
1,się,words\author1\się_13.png
1,dowie,words\author1\dowie_14.png
1,Kto,words\author1\Kto_15.png
1,cię,words\author1\cię_16.png
1,stracił,words\author1\stracił_17.png
1,Dziś,words\author1\Dziś_18.png
1,piękność,words\author1\piękność_19.png
1,twą,words\author1\twą_20.png
1,w,words\author1\w_21.png
1,całej,words\author1\całej_22.png
1,ozdobie,words\author1\ozdobie_23.png
1,Widzę,words\author1\Widzę_24.png
1,i,words\author1\i_25.png
1,opisuję,words\author1\opisuję_26.png
1,bo,words\author1\bo_27.png
1,tęsknię,words\author1\tęsknię_28.png
1,po,words\author1\po_29.png
1,tobie,words\author1\tobie_30.png
1,Panno,words\author1\Panno_31.png
1,Święta,words\author1\Święta_32.png
1,co,words\author1\co_33.png
1,jasnej,words\author1\jasnej_34.png
1,bronisz,words\author1\bronisz_35.png
1,Częstochowy,words\author1\Częstochowy_36.png
1,I,words\author1\I_37.png
1,w,words\author1\w_38.png
1,Ostrej,words\author1\Ostrej_39.png
1,świecisz,words\author1\świecisz_40.png
1,Bramie,words\author1\Bramie_41.png
1,Ty,words\author1\Ty_42.png
1,co,words\author1\co_43.png
1,ogród,words\author1\ogród_44.png
1,zamkowy,words\author1\zamkowy_45.png
1,Nowogródzki,words\author1\Nowogródzki_46.png
1,ochraniasz,words\author1\ochraniasz_47.png
1,z,words\author1\z_48.png
1,jego,words\author1\jego_49.png
1,wiernym,words\author1\wiernym_50.png
1,ludem,words\author1\ludem_51.png
1,Jak,words\author1\Jak_52.png
1,mnie,words\author1\mnie_53.png
1,dziecko,words\author1\dziecko_54.png
1,do,words\author1\do_55.png
1,zdrowia,words\author1\zdrowia_56.png
1,powróciłaś,words\author1\powróciłaś_57.png
1,cudem,words\author1\cudem_58.png
1,Gdy,words\author1\Gdy_59.png
1,od,words\author1\od_60.png
1,płaczącej,words\author1\płaczącej_61.png
1,matki,words\author1\matki_62.png
1,pod,words\author1\pod_63.png
1,Twoją,words\author1\Twoją_64.png
1,opiekę,words\author1\opiekę_65.png
1,Ofiarowany,words\author1\Ofiarowany_66.png
1,martwą,words\author1\martwą_67.png
1,podniosłem,words\author1\podniosłem_68.png
1,powiekę,words\author1\powiekę_69.png
1,I,words\author1\I_70.png
1,zaraz,words\author1\zaraz_71.png
1,mogłem,words\author1\mogłem_72.png
1,pieszo,words\author1\pieszo_73.png
